id,order_number,serial_number,mac_address,used,test_result,timestamp,operator,created_at,updated_at,post_testing_changes
, , ,00:13:C6:13:40:4B,False,False,, ,,, 
, , ,00:13:C6:13:40:4C,False,False,, ,,, 
, , ,00:13:C6:13:40:4D,False,False,, ,,, 
, , ,00:13:C6:13:40:4E,False,False,, ,,, 
, , ,00:13:C6:13:40:4F,False,False,, ,,, 
, , ,00:13:C6:13:40:50,False,False,, ,,, 
, , ,00:13:C6:13:40:51,False,False,, ,,, 
, , ,00:13:C6:13:40:52,False,False,, ,,, 
, , ,00:13:C6:13:40:53,False,False,, ,,, 
, , ,00:13:C6:13:40:54,False,False,, ,,, 
, , ,00:13:C6:13:40:55,False,False,, ,,, 
, , ,00:13:C6:13:40:56,False,False,, ,,, 
, , ,00:13:C6:13:40:57,False,False,, ,,, 
, , ,00:13:C6:13:40:58,False,False,, ,,, 
, , ,00:13:C6:13:40:59,False,False,, ,,, 
, , ,00:13:C6:13:40:5A,False,False,, ,,, 
, , ,00:13:C6:13:40:5B,False,False,, ,,, 
, , ,00:13:C6:13:40:5C,False,False,, ,,, 
, , ,00:13:C6:13:40:5D,False,False,, ,,, 
, , ,00:13:C6:13:40:5E,False,False,, ,,, 
, , ,00:13:C6:13:40:5F,False,False,, ,,, 
, , ,00:13:C6:13:40:60,False,False,, ,,, 
, , ,00:13:C6:13:40:61,False,False,, ,,, 
, , ,00:13:C6:13:40:62,False,False,, ,,, 
, , ,00:13:C6:13:40:63,False,False,, ,,, 
, , ,00:13:C6:13:40:64,False,False,, ,,, 
, , ,00:13:C6:13:40:65,False,False,, ,,, 
, , ,00:13:C6:13:40:66,False,False,, ,,, 
, , ,00:13:C6:13:40:67,False,False,, ,,, 
, , ,00:13:C6:13:40:68,False,False,, ,,, 
, , ,00:13:C6:13:40:69,False,False,, ,,, 
, , ,00:13:C6:13:40:6A,False,False,, ,,, 
, , ,00:13:C6:13:40:6B,False,False,, ,,, 
, , ,00:13:C6:13:40:6C,False,False,, ,,, 
, , ,00:13:C6:13:40:6D,False,False,, ,,, 
, , ,00:13:C6:13:40:6E,False,False,, ,,, 
, , ,00:13:C6:13:40:6F,False,False,, ,,, 
, , ,00:13:C6:13:40:70,False,False,, ,,, 
, , ,00:13:C6:13:40:71,False,False,, ,,, 
, , ,00:13:C6:13:40:72,False,False,, ,,, 
, , ,00:13:C6:13:40:73,False,False,, ,,, 
, , ,00:13:C6:13:40:74,False,False,, ,,, 
, , ,00:13:C6:13:40:75,False,False,, ,,, 
, , ,00:13:C6:13:40:76,False,False,, ,,, 
, , ,00:13:C6:13:40:77,False,False,, ,,, 
, , ,00:13:C6:13:40:78,False,False,, ,,, 
, , ,00:13:C6:13:40:79,False,False,, ,,, 
, , ,00:13:C6:13:40:7A,False,False,, ,,, 
